City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,anna regina,7.2644,-58.5077,27.59,78,99,4.08,GY,1707081888
218,taulaga,-11.0553,-171.0883,29.23,77,100,11.07,AS,1707081888
219,irtyshsk,53.3333,75.4572,-5.87,87,100,7.31,KZ,1707081888
220,shanhecun,44.7,127.2,-26.43,100,75,1.58,CN,1707081888
221,ola,59.5833,151.2833,-23.2,85,22,4.53,RU,1707081646
222,rio grande,-32.035,-52.0986,28.06,85,49,6.88,BR,1707081869
223,dudinka,69.4058,86.1778,-17.99,96,99,4.7,RU,1707081618
224,tazovsky,67.4667,78.7,-14.3,96,100,3.27,RU,1707081641
225,guiuan,11.0333,125.7247,26.2,82,16,4.6,PH,1707081889
226,prabumulih,-3.45,104.25,22.75,98,100,0.28,ID,1707081889
227,remire-montjoly,4.9167,-52.2667,29.02,79,75,6.69,GF,1707081635
228,margaret river,-33.95,115.0667,13.05,78,59,2.93,AU,1707081623
229,tarakan,3.3,117.6333,24.99,89,100,2.72,ID,1707081615
230,touros,-5.1989,-35.4608,27.66,71,2,6.73,BR,1707081889
231,rupert,42.6191,-113.6772,5.97,39,0,2.57,US,1707081889
232,urumqi,43.801,87.6005,-15.47,85,75,0.0,CN,1707081890
233,al khums,32.6486,14.2619,14.91,76,5,5.82,LY,1707081890
234,sao gabriel da cachoeira,-0.1303,-67.0892,26.7,93,100,1.19,BR,1707081890
235,rawson,-43.3002,-65.1023,32.84,15,15,13.76,AR,1707081704
236,at taj,24.2049,23.2857,10.38,43,1,3.76,LY,1707081691
237,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,81,20,3.13,RU,1707081677
238,cotonou,6.3654,2.4183,26.85,79,49,4.49,BJ,1707081890
239,la passe,45.5549,-0.8967,8.13,90,97,2.34,FR,1707081640
240,campo verde,-20.4167,-54.0667,26.41,60,100,2.75,BR,1707081890
241,vallenar,-28.5708,-70.7581,21.99,41,79,4.06,CL,1707081891
242,ulladulla,-35.35,150.4667,23.2,77,100,2.56,AU,1707081672
243,arakli,40.9385,40.0584,9.05,60,100,2.05,TR,1707081891
244,road town,18.4167,-64.6167,27.05,69,20,2.57,VG,1707081891
245,sanctuary point,-35.1114,150.629,25.97,82,100,1.78,AU,1707081891
246,college,64.8569,-147.8028,-19.0,72,75,0.0,US,1707081639
247,gomoh,23.8667,86.1667,18.0,43,44,2.42,IN,1707081891
248,kalmunai,7.4167,81.8167,25.22,87,85,1.73,LK,1707081891
249,vernon,50.2581,-119.2691,3.12,89,100,2.06,CA,1707081618
